datetime,Symbol,Open,High,Low,Close,Volume,MA7,MA21,RSI,EMA12,EMA26,STD7,Daily_Return,SMMA7
2022-02-01 05:30:00,BINANCE:BTCUSD,38479.07,45829.34,34336.56,43171.59,53733.13161,48265.403176857144,35841.88721843333,54.85754211055362,43042.23170752926,30589.009336492305,8134.0821496082835,0.12184964026514877,48265.403176857144
2022-03-01 05:30:00,BINANCE:BTCUSD,43173.9,48240.33,37200.78,45571.68,49977.68654,47982.26122591428,37573.70075763333,56.228352097516655,43431.377598678606,31698.83679304843,8197.23687787845,0.05559419979667202,47982.26122591428
2022-04-01 05:30:00,BINANCE:BTCUSD,45557.98,47445.51,37684.09,37739.95,46454.03841,47095.67438557142,38833.68398034762,50.8067421596087,42555.77335272805,32146.32666023003,9002.591319839645,-0.1718551960340282,47095.67438557142
2022-05-01 05:30:00,BINANCE:BTCUSD,37742.16,40011.86,23878.62,31789.66,83360.592894,42846.30285714286,39789.261919461904,47.09155217275787,40899.44822153912,32119.906907620396,8017.192126864445,-0.15766555069627797,42846.30285714286
2022-06-01 05:30:00,BINANCE:BTCUSD,31795.59,31964.09,17689.13,19966.57,92881.579604,37559.87142857142,40225.64516884285,40.72000314895315,37679.00541822541,31219.659729278144,9255.504268609455,-0.3719162142658965,37559.87142857142
2022-07-01 05:30:00,BINANCE:BTCUSD,19965.88,24692.87,18782.39,23334.94,64749.64402,34293.84285714285,40678.409648723806,43.08276158487528,35472.22612311381,30635.60641599828,9721.658148727722,0.1687004828570955,34293.84285714285
2022-08-01 05:30:00,BINANCE:BTCUSD,23329.19,25200.55,19552.06,20064.92,57806.39604,31662.758571428567,40699.81982769524,41.35930752702686,33101.87133494246,29852.592607405815,10828.380184923688,-0.14013406505437775,31662.758571428567
2022-09-01 05:30:00,BINANCE:BTCUSD,20057.85,22801.92,18180.74,19432.6,94291.97806,28271.474285714285,40245.856370790476,41.01761320998661,30998.90651418208,29080.741303153532,10329.091753075987,-0.0315137065086728,28271.474285714285
2022-10-01 05:30:00,BINANCE:BTCUSD,19429.99,21072.31,18214.02,20494.41,76367.57654,24689.00714285714,39640.469627190476,41.88585547321048,29382.830127384837,28444.716762179196,7205.182556104391,0.05464065539351415,24689.00714285714
2022-11-01 05:30:00,BINANCE:BTCUSD,20493.69,21484.6,15479.25,17170.31,122247.946285,21750.487142857142,38307.182872295234,39.90541252242832,27503.98087701794,27609.57552053629,4782.735143784474,-0.1621954474415218,21750.487142857142
2022-12-01 05:30:00,BINANCE:BTCUSD,17169.38,18378.19,16283.06,16508.88,62287.32523,19567.51857142857,36298.29305295238,39.50515161868869,25812.426895938257,26787.301778274345,2257.5548731274766,-0.03852172733049086,19567.51857142857
2023-01-01 05:30:00,BINANCE:BTCUSD,16508.69,23958.32,16457.39,23137.45,90748.66426,20020.501428571428,34629.26615168571,45.414128081624476,25400.891988870833,26516.94238729106,2637.1745647911907,0.4015154268490655,20020.501428571428
2023-02-01 05:30:00,BINANCE:BTCUSD,23132.97,25252.3,21368.5,23397.14,73023.43158,20029.387142857144,33975.37684749524,45.638159065281044,25092.622452121475,26285.845914158388,2650.2757849560608,0.011223795189184482,20029.387142857144
2023-03-01 05:30:00,BINANCE:BTCUSD,23396.92,29191.43,19705.73,28539.72,101233.27657,21240.072857142855,33659.97911011428,50.01330710204186,25622.945151795095,26452.799550146654,4169.491453441826,0.21979523993103434,21240.072857142855
2023-04-01 05:30:00,BINANCE:BTCUSD,28537.39,31170.96,27043.15,29302.15,31644.64469,22650.00857142857,33062.295344666665,50.647485558409144,26188.97666690354,26663.862546432087,5035.253263757597,0.026714697971809143,22650.00857142857
2023-05-01 05:30:00,BINANCE:BTCUSD,29306.68,29808.67,25904.27,27284.28,28959.51504,23619.989999999998,32097.086122923807,48.87995956972991,26357.484871995304,26709.819394844526,5202.026388040262,-0.06886423009915665,23619.989999999998
2023-06-01 05:30:00,BINANCE:BTCUSD,27281.39,31475.06,24840.56,30466.14,26089.30192,25519.394285714287,31455.18527138095,51.73997283596511,26989.585660919103,26988.065365596784,4871.408292050914,0.11661880027620297,25519.394285714287
2023-07-01 05:30:00,BINANCE:BTCUSD,30465.24,31875.47,28981.95,29336.82,22422.6966,27351.957142857143,29921.926190476188,50.656708458524946,27350.698636162317,27162.047190367393,2951.244864475143,-0.03706803684352533,27351.957142857143
2023-08-01 05:30:00,BINANCE:BTCUSD,29335.39,30789.16,25466.81,26024.99,18452.11436,27764.462857142855,28448.27857142857,47.51494016898257,27146.743461368114,27077.82073182166,2417.5304924428337,-0.11288987695326214,27764.462857142855
2023-09-01 05:30:00,BINANCE:BTCUSD,26029.21,27512.18,24962.49,26992.77,13096.56153,28278.124285714286,27533.78476190476,48.51972105914224,27123.05523654225,27071.520677612647,1567.4707108467128,0.03718656568167744,28278.124285714286
2023-10-01 05:30:00,BINANCE:BTCUSD,26992.77,35263.55,26540.46,34686.1,13236.68389,29156.17857142857,27353.003333333334,55.76885686424482,28286.600584766522,27635.56359038208,2896.5108812928656,0.2850144686892082,29156.17857142857
2023-11-01 05:30:00,BINANCE:BTCUSD,34678.87,38489.86,34111.67,37739.55,9949.11415,30361.521428571425,27094.33476190476,58.279887165168994,29740.90049480244,28384.007028131557,4355.487904408406,0.08803094034786274,30361.521428571425
2023-12-01 05:30:00,BINANCE:BTCUSD,37755.83,44747.01,37656.02,42408.19,9599.20399,32522.08,26943.69238095238,61.84639833240841,31689.714264832837,29422.835396418108,6011.078172685292,0.12370682745289763,32522.08
2024-01-01 05:30:00,BINANCE:BTCUSD,42409.76,49022.57,38542.17,42581.86,12467.68119,34252.89714285714,27174.259523809524,61.97661542275786,33365.42899332009,30397.577959646398,6985.706278770763,0.004095199535750105,34252.89714285714
2024-02-01 05:30:00,BINANCE:BTCUSD,42571.48,64005.75,41855.19,60804.82,9713.9388,38748.32571428571,28555.933809523805,72.55948606649771,37586.87376357854,32649.96625893185,11776.920932704004,0.4279512449667535,38748.32571428571
2024-03-01 05:30:00,BINANCE:BTCUSD,60723.69,73808.39,57472.19,71389.65,13573.528735,45228.991428571426,31004.651904761904,76.6284981966362,42787.30087687414,35519.572461973934,15501.369738700954,0.17407879835841955,45228.991428571426
2024-04-01 05:30:00,BINANCE:BTCUSD,71367.87,72576.39,58913.82,60674.53,10150.91305,50040.671428571426,32782.72761904762,65.96482148560878,45539.18228043197,37382.90264997586,14057.582897190401,-0.15009346592958495,50040.671428571426
2024-05-01 05:30:00,BINANCE:BTCUSD,60680.2,71282.86,56552.32,67517.75,5475.28346,54730.90714285713,35042.38619047619,68.93783275969179,48920.500391134745,39615.11356479247,13548.622658878992,0.11278571090703138,54730.90714285713
2024-06-01 05:30:00,BINANCE:BTCUSD,67530.63,71906.17,58474.66,62741.62,4240.77083,58302.63142857142,37104.72047619047,64.69056365160925,51046.82648480632,41328.18811554858,11456.845537548552,-0.07073887977605886,58302.63142857142
2024-07-01 05:30:00,BINANCE:BTCUSD,62758.55,69911.6,53591.25,64671.33,5993.48411,61483.079999999994,39208.38333333333,65.61240161685456,53142.90394868227,43057.309736619056,9171.297067358124,0.030756457993912134,61483.079999999994
2024-08-01 05:30:00,BINANCE:BTCUSD,64662.36,65623.79,49351.27,58946.17,7757.90886,63820.83857142857,41197.70999999999,60.560729359874166,54035.71411042346,44234.26234872135,4389.383561087581,-0.08852701807740782,63820.83857142857
2024-09-01 05:30:00,BINANCE:BTCUSD,58940.37,66517.22,52622.08,63367.75,5523.57463,64186.97142857142,43429.084761904756,62.934268253070705,55471.41193958908,45651.55773029754,4198.624310907785,0.0750104714182449,64186.97142857142
2024-10-01 05:30:00,BINANCE:BTCUSD,63362.04,73512.01,58927.12,70307.19,6668.34879,64032.334285714285,45675.26285714286,66.35643457897945,57753.83933349845,47477.90086138662,3898.328378120574,0.10951059490040294,64032.334285714285
2024-11-01 05:30:00,BINANCE:BTCUSD,70293.31,99317.5,66832.04,96263.32,15839.030898,69116.44714285714,49145.08095238095,75.4767025656393,63678.374820652534,51091.63561239502,12502.039503924492,0.36918172949310035,69116.44714285714
2024-12-01 05:30:00,BINANCE:BTCUSD,96259.38,108230.85,91279.18,93383.06,11794.587303,72811.49142857143,52232.85904761905,73.10833600686624,68248.32638670599,54224.33371518057,15430.193083887365,-0.029920638515272602,72811.49142857143
2025-01-01 05:30:00,BINANCE:BTCUSD,93374.47,109312.19,89397.96,102616.96,12276.574859,78507.96857142857,55724.04047619048,75.73691033585898,73535.8084810589,57808.97269924127,18204.211211223774,0.09888195996147497,78507.96857142857
2025-02-01 05:30:00,BINANCE:BTCUSD,102581.55,102929.25,78173.64,84362.58,9512.6349,81321.00428571428,58442.05476190476,62.69100006187232,75201.46563781907,59775.90657337155,17203.64086199661,-0.17788852836802027,81321.00428571428
2025-03-01 05:30:00,BINANCE:BTCUSD,84367.29,96484.71,76642.19,82511.47,10695.28471,84687.47571428571,60920.40380952381,61.53348110752988,76326.0816935392,61460.022382751435,14125.884300338843,-0.021942311389718028,84687.47571428571
2025-04-01 05:30:00,BINANCE:BTCUSD,82509.19,95865.9,74393.46,94155.08,15026.27971,89085.66571428571,64006.98761904761,65.80975254471731,79069.0045099178,63881.878502547625,10777.599787252846,0.1411150473988647,89085.66571428571
2025-05-01 05:30:00,BINANCE:BTCUSD,94181.21,111917.37,93422.7,104784.18,11136.76291,94010.94999999998,67757.42523809524,69.17822884516359,83025.18535454583,66911.67861347002,8375.989161547659,0.11288928860768843,94010.94999999998
2025-06-01 05:30:00,BINANCE:BTCUSD,104785.81,110527.41,98385.45,107168.23,8852.70961,95568.79428571428,71575.30428571429,69.89466624372166,86739.49991538493,69893.64538284262,9763.843686939706,0.022752003212698657,95568.79428571428
2025-07-01 05:30:00,BINANCE:BTCUSD,107183.69,122054.86,105173.26,115802.77,10063.49505,98771.60999999999,75438.00285714286,72.39721257781348,91210.77223609494,73294.32128040983,12280.241586920447,0.08056995995921556,98771.60999999999
2025-08-01 05:30:00,BINANCE:BTCUSD,115778.44,123731.21,107452.58,108271.35,9583.58377,99579.38,78796.66,67.15360303841899,93835.47650746495,75885.21229667577,12752.23442795799,-0.06503661354559997,99579.38
2025-09-01 05:30:00,BINANCE:BTCUSD,108264.0,117930.63,107304.89,114064.06,6082.61882,103822.44857142857,82208.84428571428,69.01261841786125,96947.56627554726,78713.2750895146,11746.960128639432,0.0535017804802469,103822.44857142857
2025-10-01 05:30:00,BINANCE:BTCUSD,114052.4,125761.31,103587.26,109474.58,14783.11641,107674.32142857142,85394.2119047619,65.83348699000312,98874.7991562323,80991.89026806908,7093.150969349076,-0.04023598669028616,107674.32142857142
2025-11-01 05:30:00,BINANCE:BTCUSD,109480.53,111019.55,80522.72,90408.56,12152.83102,107139.10428571427,86803.9138095238,54.58413179083304,97572.30082450426,81689.42135932323,8318.735593207182,-0.1741593345231377,107139.10428571427
2025-12-01 05:30:00,BINANCE:BTCUSD,90383.89,99000.0,83762.32,87552.07,1695.47588,104677.37428571428,87573.55285714284,53.11961932680734,96030.7268515036,82123.69162900299,11186.998501133305,-0.03159534893598559,104677.37428571428
2026-01-01 05:30:00,BINANCE:BTCUSD,87626.01,97900.0,75678.0,78610.81,400.92618,100597.74285714285,88427.66142857142,48.71377497856018,93350.73964357996,81863.47817500278,14762.854715507689,-0.10212505540988359,100597.74285714285
2026-02-01 05:30:00,BINANCE:BTCUSD,78744.33,79344.22,60000.0,67049.54,1385.35992,93632.9957142857,88405.36571428571,43.67007091607815,89304.40123687535,80766.14942129886,17618.108209493606,-0.1470697223448022,93632.9957142857
2026-03-01 05:30:00,BINANCE:BTCUSD,67049.54,74090.5,65148.79,67864.0,57.32371,87860.51714285713,88649.28857142857,44.1090945055299,86005.87796966375,79810.43464935079,18614.043010650716,0.01214713777305576,87860.51714285713
