Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2024-03-11,5117.08984375,5179.8701171875,5091.14013671875,5111.9599609375,24701470000
2024-03-18,5234.18017578125,5261.10009765625,5131.58984375,5154.77001953125,19715260000
2024-03-25,5254.35009765625,5264.85009765625,5203.419921875,5219.52001953125,15051920000
2024-04-01,5204.33984375,5263.9501953125,5146.06005859375,5257.97021484375,18378230000
2024-04-08,5123.41015625,5224.81005859375,5107.93994140625,5211.3701171875,17997390000
2024-04-15,4967.22998046875,5168.43017578125,4953.56005859375,5149.669921875,19051050000
2024-04-22,5099.9599609375,5114.6201171875,4969.39990234375,4987.330078125,18790580000
2024-04-29,5127.7900390625,5139.1201171875,5011.0498046875,5114.1298828125,20380740000
2024-05-06,5222.68017578125,5239.66015625,5142.419921875,5142.419921875,18858510000
2024-05-13,5303.27001953125,5325.490234375,5211.16015625,5233.080078125,20775690000
2024-05-20,5304.72021484375,5341.8798828125,5256.93017578125,5305.35009765625,17804500000
2024-05-27,5277.509765625,5315.91015625,5191.68017578125,5315.91015625,16560200000
2024-06-03,5346.990234375,5375.080078125,5234.31982421875,5297.14990234375,18649030000
2024-06-10,5431.60009765625,5447.25,5327.25,5341.22021484375,18122180000
2024-06-17,5464.6201171875,5505.52978515625,5420.39990234375,5431.10986328125,17613030000
2024-06-24,5460.47998046875,5523.64013671875,5446.56005859375,5459.580078125,21641380000
2024-07-01,5567.18994140625,5570.330078125,5446.52978515625,5471.080078125,12251260000
2024-07-08,5615.35009765625,5655.56005859375,5562.509765625,5572.75,17475920000
2024-07-15,5505.0,5669.669921875,5497.0400390625,5638.16015625,19676760000
2024-07-22,5459.10009765625,5585.33984375,5390.9501953125,5544.5400390625,19051830000
2024-07-29,5346.56005859375,5566.16015625,5302.02978515625,5476.5498046875,21564690000
2024-08-05,5344.16015625,5358.669921875,5119.259765625,5151.14013671875,22114930000
2024-08-12,5554.25,5561.97998046875,5324.3701171875,5351.8798828125,17470190000
2024-08-19,5634.60986328125,5643.22021484375,5550.740234375,5557.22998046875,15609610000
2024-08-26,5648.39990234375,5651.6201171875,5560.9501953125,5639.66015625,16042500000
2024-09-02,5408.419921875,5623.89013671875,5402.6201171875,5623.89013671875,14688940000
2024-09-09,5626.02001953125,5636.27001953125,5406.9599609375,5442.06982421875,18669430000
2024-09-16,5702.5498046875,5733.56982421875,5604.52978515625,5615.2099609375,22463850000
2024-09-23,5738.169921875,5767.3701171875,5698.990234375,5711.89990234375,19316880000
2024-09-30,5751.06982421875,5765.14013671875,5674.0,5726.52001953125,19356810000
2024-10-07,5815.02978515625,5822.1298828125,5686.85009765625,5737.7998046875,17099040000
2024-10-14,5864.669921875,5878.4599609375,5804.47998046875,5829.81005859375,17209100000
2024-10-21,5808.1201171875,5866.919921875,5762.41015625,5857.81982421875,17326050000
2024-10-28,5728.7998046875,5850.93994140625,5702.85986328125,5833.93017578125,19643610000
2024-11-04,5995.5400390625,6012.4501953125,5696.509765625,5725.14990234375,23292380000
2024-11-11,5870.6201171875,6017.31005859375,5853.009765625,6008.85986328125,21572110000
2024-11-18,5969.33984375,5972.89990234375,5855.2900390625,5874.169921875,20164960000
2024-11-25,6032.3798828125,6044.169921875,5963.91015625,5992.27978515625,15276080000
2024-12-02,6090.27001953125,6099.97021484375,6033.39013671875,6040.10986328125,20647710000
2024-12-09,6051.08984375,6092.58984375,6029.89013671875,6083.009765625,20137790000
2024-12-16,5930.85009765625,6085.18994140625,5832.2998046875,6063.7900390625,27302660000
2024-12-23,5970.83984375,6049.75,5902.56982421875,5940.25,11415140000
2024-12-30,5942.47021484375,5949.33984375,5829.52978515625,5920.669921875,13850620000
2025-01-06,5827.0400390625,6021.0400390625,5807.77978515625,5982.81005859375,18651120000
2025-01-13,5996.66015625,6014.9599609375,5773.31005859375,5782.02001953125,21760690000
2025-01-20,6101.240234375,6128.18017578125,6006.8798828125,6014.1201171875,17672460000
2025-01-27,6040.52978515625,6120.91015625,5962.919921875,5969.0400390625,23266090000
2025-02-03,6025.990234375,6101.27978515625,5923.93017578125,5969.64990234375,23577640000
2025-02-10,6114.6298828125,6127.47021484375,6003.0,6046.39990234375,22510590000
2025-02-17,6013.1298828125,6147.43017578125,6008.56005859375,6121.60009765625,19495560000
2025-02-24,5954.5,6043.64990234375,5837.66015625,6026.68994140625,26733210000
2025-03-03,5770.2001953125,5986.08984375,5666.2900390625,5968.330078125,27908150000
2025-03-10,5638.93994140625,5705.3701171875,5504.64990234375,5705.3701171875,27732600000
2025-03-17,5667.56005859375,5715.330078125,5597.759765625,5635.60009765625,28404010000
2025-03-24,5580.93994140625,5786.9501953125,5572.419921875,5718.080078125,22085260000
2025-03-31,5074.080078125,5695.31005859375,5069.89990234375,5527.91015625,29999550000
2025-04-07,5363.35986328125,5481.33984375,4835.0400390625,4953.7900390625,37869410000
2025-04-14,5282.7001953125,5459.4599609375,5220.7900390625,5441.9599609375,18671180000
2025-04-21,5525.2099609375,5528.10986328125,5101.6298828125,5232.93994140625,23198970000
2025-04-28,5686.669921875,5700.7001953125,5433.240234375,5529.22021484375,24244170000
2025-05-05,5659.91015625,5720.10009765625,5578.64013671875,5655.31982421875,24335450000
2025-05-12,5958.3798828125,5958.6201171875,5786.080078125,5807.2001953125,26606460000
2025-05-19,5802.81982421875,5968.60986328125,5767.41015625,5902.8798828125,23634980000
2025-05-26,5911.68994140625,5943.1298828125,5843.66015625,5854.06982421875,20979720000
2025-06-02,6000.35986328125,6016.8701171875,5861.43017578125,5896.68017578125,24073530000
2025-06-09,5976.97021484375,6059.39990234375,5963.2099609375,6004.6298828125,24565200000
2025-06-16,5967.83984375,6050.830078125,5952.56005859375,6004.0,22625380000
2025-06-23,6173.06982421875,6187.68017578125,5943.22998046875,5969.669921875,29409290000
2025-06-30,6279.35009765625,6284.64990234375,6174.97021484375,6193.35986328125,21082030000
2025-07-07,6259.75,6290.22021484375,6201.0,6259.0400390625,25812670000
2025-07-14,6296.7900390625,6315.60986328125,6201.58984375,6255.14990234375,25730370000
2025-07-21,6388.64013671875,6395.81982421875,6281.7099609375,6304.740234375,26068830000
2025-07-28,6238.009765625,6427.02001953125,6212.68994140625,6397.68994140625,26921040000
2025-08-04,6389.4501953125,6395.16015625,6271.7099609375,6271.7099609375,25844550000
2025-08-11,6449.7998046875,6481.33984375,6364.06005859375,6389.669921875,24020760000
2025-08-18,6466.91015625,6478.89013671875,6343.85986328125,6445.02001953125,22070540000
2025-08-25,6460.259765625,6508.22998046875,6429.2099609375,6457.669921875,21589030000
2025-09-01,6481.5,6532.64990234375,6360.580078125,6401.509765625,18986250000
2025-09-08,6584.2900390625,6600.2099609375,6483.080078125,6498.08984375,25330960000
2025-09-15,6664.35986328125,6671.81982421875,6551.14990234375,6603.490234375,30628230000
2025-09-22,6643.7001953125,6699.52001953125,6569.22021484375,6654.27978515625,27713200000
2025-09-29,6715.7900390625,6750.8701171875,6641.0,6661.580078125,28583160000
2025-10-06,6552.509765625,6764.580078125,6550.77978515625,6733.85986328125,28515370000
2025-10-13,6664.009765625,6724.1201171875,6555.06982421875,6622.52978515625,28010240000
2025-10-20,6791.68994140625,6807.10986328125,6655.68994140625,6690.0498046875,26251170000
2025-10-27,6840.2001953125,6920.33984375,6814.259765625,6845.4599609375,29717690000
2025-11-03,6728.7998046875,6882.31982421875,6631.43994140625,6882.31982421875,29722800000
2025-11-10,6734.10986328125,6869.91015625,6646.8701171875,6785.35986328125,26159530000
2025-11-17,6602.990234375,6770.35009765625,6521.919921875,6713.60986328125,26911230000
2025-11-24,6849.08984375,6850.85986328125,6630.7001953125,6636.5400390625,18086610000
2025-12-01,6870.39990234375,6895.77978515625,6799.93994140625,6812.2998046875,23685440000
2025-12-08,6827.41015625,6903.4599609375,6801.7900390625,6875.2001953125,24722970000
2025-12-15,6834.5,6861.58984375,6720.43017578125,6860.18994140625,28736560000
2025-12-22,6929.93994140625,6945.77001953125,6855.740234375,6865.2099609375,12670410000
2025-12-29,6858.47021484375,6920.2099609375,6824.31005859375,6903.60009765625,14297630000
2026-01-05,6966.27978515625,6978.35986328125,6891.56005859375,6892.18994140625,26993190000
2026-01-12,6940.009765625,6986.330078125,6885.740234375,6944.1201171875,26112200000
2026-01-19,6915.60986328125,6934.75,6789.0498046875,6865.240234375,21784530000
2026-01-26,6939.02978515625,7002.27978515625,6870.7998046875,6923.22998046875,29382560000
2026-02-02,6932.2998046875,6993.080078125,6780.1298828125,6916.64013671875,33538260000
2026-02-09,6836.169921875,6993.47998046875,6794.5498046875,6917.259765625,30258780000
2026-02-16,6909.509765625,6915.85986328125,6775.5,6819.85986328125,21100810000
2026-02-23,6878.8798828125,6952.509765625,6815.43017578125,6901.25,28787710000
2026-03-02,6708.58984375,6901.009765625,6636.0400390625,6824.35986328125,31495813000
